ëÅEEPROM
Saved flight state: 0
Saved baseline: 988.13
TIME,TEMPERATURE, PRESSURE, ALTITUDE, LATITUDE, LONGITUDE, ANGLE, GPS_ALTX, Y, Z, SWC, SWP, TURN, FLIGHT_STATE
9619,17.90,990.21,-0.17,0.0000000,0.0000000,0.0000000,0.00,0.6250,87.1250,177.3750,1,1,2,0
10688,17.90,990.23,-0.34,0.0000000,0.0000000,0.0000000,0.00,0.6250,87.2500,177.4375,1,1,2,0
11758,18.00,990.17,0.17,0.0000000,0.0000000,0.0000000,0.00,359.3750,87.5000,177.6875,1,1,2,0
12830,18.00,990.24,-0.43,0.0000000,0.0000000,0.0000000,0.00,359.4375,87.3125,177.5625,1,1,2,0
13408,18.00,990.15,0.34,0.0000000,0.0000000,0.0000000,0.00,359.8125,87.5625,177.9375,1,1,2,0
14479,18.00,990.24,-0.43,0.0000000,0.0000000,0.0000000,0.00,0.2500,87.3750,177.6250,1,1,2,0
15548,17.90,990.16,0.26,0.0000000,0.0000000,0.0000000,0.00,357.2500,87.1875,177.3125,1,1,2,0
16619,17.90,990.11,0.68,0.0000000,0.0000000,0.0000000,0.00,358.6875,87.8125,178.1875,1,1,2,0
17690,18.00,990.16,0.26,0.0000000,0.0000000,0.0000000,0.00,0.5625,88.1875,178.8750,1,1,2,0
18759,17.90,990.26,-0.60,0.0000000,0.0000000,0.0000000,0.00,359.9375,87.6875,177.9375,1,1,2,0
19843,18.00,990.19,0.00,0.0000000,0.0000000,0.0000000,0.00,3.0625,88.3750,178.9375,1,1,2,0
20983,18.00,990.15,0.34,0.0000000,0.0000000,0.0000000,0.00,4.1875,87.5000,179.6250,1,1,2,0
22052,17.90,990.16,0.26,0.0000000,0.0000000,0.0000000,0.00,3.1250,87.5000,178.3750,1,1,2,0
23121,17.90,990.12,0.60,0.0000000,0.0000000,0.0000000,0.00,359.0000,86.3125,177.2500,1,1,2,0
24193,17.90,990.20,-0.09,0.0000000,0.0000000,0.0000000,0.00,358.7500,86.5000,177.0625,1,1,2,0
25265,17.90,990.14,0.43,0.0000000,0.0000000,0.0000000,0.00,358.6875,86.6875,177.0625,1,1,2,0
26335,18.00,990.17,0.17,0.0000000,0.0000000,0.0000000,0.00,358.7500,86.7500,177.0625,1,1,2,0
27406,18.00,990.22,-0.26,0.0000000,0.0000000,0.0000000,0.00,358.8750,87.0625,177.1875,1,1,2,0
28478,18.00,990.10,0.77,0.0000000,0.0000000,0.0000000,0.00,359.3125,87.5000,177.6250,1,1,2,0
29548,18.00,990.25,-0.51,0.0000000,0.0000000,0.0000000,0.00,358.8125,87.2500,177.3125,1,1,2,0
30620,18.00,990.10,0.77,0.0000000,0.0000000,0.0000000,0.00,358.6250,87.1250,177.1875,1,1,2,0
31691,17.90,990.23,-0.34,0.0000000,0.0000000,0.0000000,0.00,358.8125,87.3125,177.3750,1,1,2,0
32797,18.00,990.20,-0.09,0.0000000,0.0000000,0.0000000,0.00,1.5000,87.6875,177.7500,1,1,2,0
33908,18.00,990.19,0.00,0.0000000,0.0000000,0.0000000,0.00,1.2500,87.3125,2.6250,1,1,2,0
34987,18.00,990.19,0.00,0.0000000,0.0000000,0.0000000,0.00,2.4375,87.9375,177.9375,1,1,2,0
36108,18.00,990.22,-0.26,0.0000000,0.0000000,0.0000000,0.00,2.2500,87.8125,2.1250,1,1,2,0
37177,18.00,990.25,-0.51,0.0000000,0.0000000,0.0000000,0.00,2.4375,87.9375,177.9375,1,1,2,0
38248,18.00,990.27,-0.69,0.0000000,0.0000000,0.0000000,0.00,2.4375,87.9375,2.0000,1,1,2,0
39317,18.00,990.20,-0.09,0.0000000,0.0000000,0.0000000,0.00,2.4375,87.9375,2.0000,1,1,2,0
40384,18.00,990.25,-0.51,0.0000000,0.0000000,0.0000000,0.00,2.9375,88.5625,1.3750,1,1,2,0
41453,18.00,990.28,-0.77,0.0000000,0.0000000,0.0000000,0.00,3.0625,88.6250,1.2500,1,1,2,0
42521,18.00,990.21,-0.17,0.0000000,0.0000000,0.0000000,0.00,3.0000,88.4375,1.5000,1,1,2,0
43589,18.00,990.29,-0.86,0.0000000,0.0000000,0.0000000,0.00,2.6875,88.2500,1.6875,1,1,2,0
44657,18.00,990.25,-0.51,0.0000000,0.0000000,0.0000000,0.00,4.3750,87.9375,178.3125,1,1,2,0
45728,18.00,990.25,-0.51,0.0000000,0.0000000,0.0000000,0.00,4.3750,88.1875,178.3125,1,1,2,0
46810,18.00,990.26,-0.60,0.0000000,0.0000000,0.0000000,0.00,4.3750,87.6875,177.7500,1,1,2,0
48025,18.00,990.30,-0.94,0.0000000,0.0000000,0.0000000,0.00,4.6250,87.9375,178.0000,1,1,2,0
49095,18.00,990.30,-0.94,0.0000000,0.0000000,0.0000000,0.00,4.8750,88.1875,178.2500,1,1,2,0
50165,18.00,990.20,-0.09,0.0000000,0.0000000,0.0000000,0.00,4.8750,88.1875,178.1875,1,1,2,0
51235,18.00,990.24,-0.43,0.0000000,0.0000000,0.0000000,0.00,4.8125,88.1250,178.1875,1,1,2,0
52306,18.00,990.30,-0.94,0.0000000,0.0000000,0.0000000,0.00,4.8125,88.0625,178.1875,1,1,2,0
53377,18.00,990.29,-0.86,0.0000000,0.0000000,0.0000000,0.00,4.8125,88.1250,178.1875,1,1,2,0
54447,18.00,990.26,-0.60,0.0000000,0.0000000,0.0000000,0.00,5.0000,88.3125,178.3750,1,1,2,0
55517,18.00,990.22,-0.26,0.0000000,0.0000000,0.0000000,0.00,5.0625,88.3125,178.3750,1,1,2,0
56588,18.00,990.30,-0.94,0.0000000,0.0000000,0.0000000,0.00,5.2500,88.5625,178.5625,1,1,2,0
57657,18.00,990.25,-0.51,0.0000000,0.0000000,0.0000000,0.00,5.0625,88.3750,178.3750,1,1,2,0
58728,18.00,990.24,-0.43,0.0000000,0.0000000,0.0000000,0.00,5.0625,88.3750,178.3750,1,1,2,0
59807,18.00,990.23,-0.34,0.0000000,0.0000000,0.0000000,0.00,5.1875,88.4375,178.5625,1,1,2,0
60901,18.00,990.29,-0.86,0.0000000,0.0000000,0.0000000,0.00,5.1875,88.5000,178.5625,1,1,2,0
61982,18.00,990.29,-0.86,0.0000000,0.0000000,0.0000000,0.00,5.1875,88.5000,178.5625,1,1,2,0
63055,18.00,990.33,-1.19,0.0000000,0.0000000,0.0000000,0.00,5.1875,88.5000,178.5625,1,1,2,0
64126,18.00,990.34,-1.28,0.0000000,0.0000000,0.0000000,0.00,5.3125,88.5625,178.6250,1,1,2,0
65197,18.00,990.25,-0.51,0.0000000,0.0000000,0.0000000,0.00,5.3125,88.5625,178.6250,1,1,2,0
66268,18.00,990.22,-0.26,0.0000000,0.0000000,0.0000000,0.00,5.2500,88.5000,178.6250,1,1,2,0
67338,18.00,990.20,-0.09,0.0000000,0.0000000,0.0000000,0.00,5.3750,88.6250,178.7500,1,1,2,0
